Type	Message
ham	Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
ham	Ok lar... Joking wif u oni...
spam	Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham	U dun say so early hor... U c already then say...
ham	Nah I don't think he goes to usf, he lives around here though
spam	FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
ham	Even my brother is not like to speak with me. They treat me like aids patent.
ham	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam	WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam	Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham	I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
spam	SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
spam	URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham	Finally the match heading towards draw as your prediction.
ham	Tired. I haven't slept well the past few nights.
ham	Easy ah?sen got selected means its good..
ham	I have to take exam with march 3
ham	Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
ham	Ok no prob. Take ur time.
ham	There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
ham	Sorry, I'll call later
ham	U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
spam	500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18
ham	Would really appreciate if you call me. Just need someone to talk to.
spam	Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES
ham	Hey company elama po mudyadhu.
ham	Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .
ham	Dear good morning now only i am up
ham	Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham	Dear we are going to our rubber place
ham	Sorry battery died, yeah I'm here
ham	Yes:)here tv is always available in work place..
spam	Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
ham	I have printed it oh. So  &lt;#&gt;  come upstairs
ham	Or ill be a little closer like at the bus stop on the same street
ham	Where are you?when wil you reach here?
ham	New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!
ham	I love to give massages. I use lots of baby oil... What is your fave position?
ham	Dude we should go sup again
ham	Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
ham	Gibbs unsold.mike hussey
ham	I like to talk pa but am not able to. I dont know y.
ham	Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
ham	You unbelievable faglord
ham	Wife.how she knew the time of murder exactly
ham	Why do you ask princess?
ham	I am great princess! What are you thinking about me? :)
ham	Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you
ham	It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
ham	Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
ham	Superb Thought- "Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.":-)
ham	Hope you are having a good week. Just checking in
ham	I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.
ham	Thursday night? Yeah, sure thing, we'll work it out then
spam	Your free ringtone is waiting to be collected. Simply text the password "MIX" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16
ham	Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
ham	How is it possible to teach you. And where.
ham	I wonder if your phone battery went dead ? I had to tell you, I love you babe
ham	Lovely smell on this bus and it ain't tobacco...
ham	We're all getting worried over here, derek and taylor have already assumed the worst
ham	Hey what's up charles sorry about the late reply.
spam	all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468
ham	I.ll give her once i have it. Plus she said grinule greet you whenever we speak
ham	WHITE FUDGE OREOS ARE IN STORES
spam	January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)
ham	My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
ham	I am sorry it hurt you.
ham	Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
ham	Ok lor but not too early. Me still having project meeting now.
ham	Call me da, i am waiting for your call.
ham	I could ask carlos if we could get more if anybody else can chip in
ham	Was actually about to send you a reminder today. Have a wonderful weekend
ham	When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL
ham	Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?
ham	Dont talk to him ever ok its my word.
ham	When u wana see it then
ham	On ma way to school. Can you pls send me ashley's number
ham	It shall be fine. I have avalarr now. Will hollalater
ham	She went to attend another two rounds today..but still did't reach home..
ham	Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
ham	K, wait chikku..il send aftr  &lt;#&gt; mins
ham	But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
ham	K:)i will give my kvb acc details:)
ham	Oh all have to come ah?
spam	money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy
ham	I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
ham	Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
ham	So do you have samus shoulders yet
ham	What time you think you'll have it? Need to know when I should be near campus
spam	Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.
ham	Then dun wear jeans lor...
ham	Since when, which side, any fever, any vomitin.
ham	K:)k.are you in college?
spam	Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+
ham	Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.
ham	No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham	Theyre doing it to lots of places. Only hospitals and medical places are safe.
spam	How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)
ham	And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
ham	I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones
ham	I cant wait to see you! How were the photos were useful? :)
spam	Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham	Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging
ham	Chk in ur belovd ms dict
ham	Is that what time you want me to come?
ham	Awesome, lemme know whenever you're around
ham	Shb b ok lor... Thanx...
ham	Beautiful Truth against Gravity.. Read carefully: "Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.." GOOD NIGHT
ham	Also remember to get dobby's bowl from your car
spam	Filthy stories and GIRLS waiting for your
ham	Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...
ham	Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical
ham	Welp apparently he retired
ham	My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham	Where @
ham	U sure u can't take any sick time?
spam	URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
ham	Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?
ham	Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
ham	Are you this much buzy
ham	Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.
ham	I am not sure about night menu. . . I know only about noon menu
ham	What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.
ham	Are you willing to go for aptitude class.
ham	It wont b until 2.15 as trying 2 sort house out, is that ok?
ham	Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?
ham	Haha awesome, omw back now then
ham	Yup i thk so until e shop closes lor.
ham	what is your account number?
ham	Eh u send wrongly lar...
