Type	Message
ham	Thats cool. How was your day?
spam	This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
ham	Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)
ham	Just do what ever is easier for you
spam	RCT' THNQ Adrian for U text. Rgds Vatian
ham	Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday
ham	It'll be tough, but I'll do what I have to
ham	IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
ham	Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.
ham	HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
ham	Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!
ham	But i'm surprised she still can guess right lor...
ham	Okie ü wan meet at bishan? Cos me at bishan now. I'm not driving today.
ham	Oh ho. Is this the first time u use these type of words
ham	HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
ham	I know you are serving. I mean what are you doing now.
ham	Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...
ham	Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out
spam	FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com
ham	I know girls always safe and selfish know i got it pa. Thank you. good night.
ham	No worries, hope photo shoot went well. have a spiffing fun at workage.
ham	I'm freezing and craving ice. Fml
ham	Kay... Since we are out already
ham	Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
ham	Yo im right by yo work
ham	Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx
ham	She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,
ham	I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.
ham	Nope... Juz off from work...
ham	Huh so fast... Dat means u havent finished painting?
ham	 what number do u live at? Is it 11?
ham	No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore
ham	Sac will score big hundred.he is set batsman:-)
ham	Send me yetty's number pls.
ham	How much it will cost approx . Per month.
ham	Ok... The theory test? when are ü going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free
spam	You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P
ham	That's fine, have him give me a call if he knows what he wants or has any questions
ham	Sorry, got a late start, we're on the way
ham	Then u go back urself lor...
ham	I AM AT THE GAS STATION. GO THERE.
ham	K, if u bored up just come to my home..
ham	Babe !!!! I LOVE YOU !!!! *covers your face in kisses*
ham	Like I made him throw up when we were smoking in our friend's car one time, it was awesome
ham	Still i have not checked it da. . .
ham	You will go to walmart. I.ll stay.
ham	I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too
ham	Oh great. I.ll disturb him more so that we can talk.
ham	Reverse is cheating. That is not mathematics.
ham	U're welcome... Caught u using broken english again...
ham	No problem baby. Is this is a good time to talk? I called and left a message.
ham	Sorry, I'll call later
ham	Oh is it! Which brand?
ham	Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
ham	At what time are you coming.
ham	Call him and say you not coming today ok and tell them not to fool me like this ok
ham	I emailed yifeng my part oredi.. Can ü get it fr him..
ham	R u sure they'll understand that! Wine * good idea just had a slurp!
ham	Minimum walk is 3miles a day.
ham	Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.
ham	Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..
ham	I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
spam	Sorry I missed your call let's talk when you have the time. I'm on 07090201529
ham	Please attend the phone:)
