,occ_code,occ_title,o_group,tot_emp
1031,11-0000,Management Occupations,major,272140
1032,13-0000,Business and Financial Operations Occupations,major,260840
1033,15-0000,Computer and Mathematical Occupations,major,154890
1034,17-0000,Architecture and Engineering Occupations,major,62550
1035,19-0000,"Life, Physical, and Social Science Occupations",major,29960
1036,21-0000,Community and Social Service Occupations,major,48300
1037,23-0000,Legal Occupations,major,34310
1038,25-0000,Educational Instruction and Library Occupations,major,273700
1039,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,64000
1040,29-0000,Healthcare Practitioners and Technical Occupations,major,245700
1041,31-0000,Healthcare Support Occupations,major,135360
1042,33-0000,Protective Service Occupations,major,111350
1043,35-0000,Food Preparation and Serving Related Occupations,major,416960
1044,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,112290
1045,39-0000,Personal Care and Service Occupations,major,83260
1046,41-0000,Sales and Related Occupations,major,471770
1047,43-0000,Office and Administrative Support Occupations,major,580040
1048,45-0000,"Farming, Fishing, and Forestry Occupations",major,11120
1049,47-0000,Construction and Extraction Occupations,major,149200
1050,49-0000,"Installation, Maintenance, and Repair Occupations",major,187070
1051,51-0000,Production Occupations,major,317050
1052,53-0000,Transportation and Material Moving Occupations,major,450020
8504,11-1021,General and Operations Managers,detailed,83090
8505,11-1031,Legislators,detailed,1650
8506,11-2011,Advertising and Promotions Managers,detailed,670
8507,11-2021,Marketing Managers,detailed,9220
8508,11-2022,Sales Managers,detailed,15290
8509,11-2030,Public Relations and Fundraising Managers,detailed,2190
8510,11-3010,Administrative Services and Facilities Managers,detailed,10100
8511,11-3021,Computer and Information Systems Managers,detailed,14950
8512,11-3031,Financial Managers,detailed,18280
8513,11-3051,Industrial Production Managers,detailed,4470
8514,11-3061,Purchasing Managers,detailed,2370
8515,11-3071,"Transportation, Storage, and Distribution Managers",detailed,4290
8516,11-3111,Compensation and Benefits Managers,detailed,710
8517,11-3121,Human Resources Managers,detailed,5670
8518,11-3131,Training and Development Managers,detailed,1540
8519,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,60
8520,11-9021,Construction Managers,detailed,7830
8521,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,2040
8522,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,8240
8523,11-9039,"Education Administrators, All Other",detailed,**
8524,11-9041,Architectural and Engineering Managers,detailed,4700
8525,11-9051,Food Service Managers,detailed,9660
8526,11-9081,Lodging Managers,detailed,1200
8527,11-9111,Medical and Health Services Managers,detailed,**
8528,11-9131,Postmasters and Mail Superintendents,detailed,340
8529,11-9141,"Property, Real Estate, and Community Association Managers",detailed,6830
8530,11-9151,Social and Community Service Managers,detailed,3800
8531,11-9161,Emergency Management Directors,detailed,350
8532,11-9171,Funeral Home Managers,detailed,410
8533,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,**
8534,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,330
8535,13-1020,Buyers and Purchasing Agents,detailed,12330
8536,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,**
8537,13-1032,"Insurance Appraisers, Auto Damage",detailed,470
