,occ_code,occ_title,o_group,tot_emp
1559,11-0000,Management Occupations,major,21160
1560,13-0000,Business and Financial Operations Occupations,major,17790
1561,15-0000,Computer and Mathematical Occupations,major,7240
1562,17-0000,Architecture and Engineering Occupations,major,6640
1563,19-0000,"Life, Physical, and Social Science Occupations",major,4360
1564,21-0000,Community and Social Service Occupations,major,6020
1565,23-0000,Legal Occupations,major,2390
1566,25-0000,Educational Instruction and Library Occupations,major,23970
1567,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,5110
1568,29-0000,Healthcare Practitioners and Technical Occupations,major,27090
1569,31-0000,Healthcare Support Occupations,major,17880
1570,33-0000,Protective Service Occupations,major,6680
1571,35-0000,Food Preparation and Serving Related Occupations,major,35070
1572,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,14450
1573,39-0000,Personal Care and Service Occupations,major,12630
1574,41-0000,Sales and Related Occupations,major,39370
1575,43-0000,Office and Administrative Support Occupations,major,51060
1576,45-0000,"Farming, Fishing, and Forestry Occupations",major,820
1577,47-0000,Construction and Extraction Occupations,major,36180
1578,49-0000,"Installation, Maintenance, and Repair Occupations",major,22590
1579,51-0000,Production Occupations,major,24150
1580,53-0000,Transportation and Material Moving Occupations,major,39860
24883,11-1011,Chief Executives,detailed,280
24884,11-1021,General and Operations Managers,detailed,8090
24885,11-1031,Legislators,detailed,650
24886,11-2021,Marketing Managers,detailed,190
24887,11-2022,Sales Managers,detailed,490
24888,11-2030,Public Relations and Fundraising Managers,detailed,110
24889,11-3010,Administrative Services and Facilities Managers,detailed,430
24890,11-3021,Computer and Information Systems Managers,detailed,480
24891,11-3031,Financial Managers,detailed,1450
24892,11-3051,Industrial Production Managers,detailed,470
24893,11-3061,Purchasing Managers,detailed,90
24894,11-3071,"Transportation, Storage, and Distribution Managers",detailed,490
24895,11-3121,Human Resources Managers,detailed,240
24896,11-3131,Training and Development Managers,detailed,70
24897,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,60
24898,11-9021,Construction Managers,detailed,1270
24899,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,210
24900,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,780
24901,11-9033,"Education Administrators, Postsecondary",detailed,350
24902,11-9039,"Education Administrators, All Other",detailed,170
24903,11-9041,Architectural and Engineering Managers,detailed,270
24904,11-9051,Food Service Managers,detailed,750
24905,11-9081,Lodging Managers,detailed,400
24906,11-9111,Medical and Health Services Managers,detailed,800
24907,11-9121,Natural Sciences Managers,detailed,130
24908,11-9131,Postmasters and Mail Superintendents,detailed,90
24909,11-9141,"Property, Real Estate, and Community Association Managers",detailed,790
24910,11-9151,Social and Community Service Managers,detailed,450
24911,11-9161,Emergency Management Directors,detailed,40
24912,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,980
24913,13-1020,Buyers and Purchasing Agents,detailed,970
24914,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,760
24915,13-1041,Compliance Officers,detailed,900
24916,13-1051,Cost Estimators,detailed,730
24917,13-1071,Human Resources Specialists,detailed,1400
24918,13-1075,Labor Relations Specialists,detailed,130
24919,13-1081,Logisticians,detailed,250
24920,13-1111,Management Analysts,detailed,610
24921,13-1121,"Meeting, Convention, and Event Planners",detailed,180
24922,13-1131,Fundraisers,detailed,290
24923,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,100
24924,13-1151,Training and Development Specialists,detailed,740
24925,13-1161,Market Research Analysts and Marketing Specialists,detailed,1250
24926,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,2370
24927,13-2011,Accountants and Auditors,detailed,3780
24928,13-2020,Property Appraisers and Assessors,detailed,170
24929,13-2031,Budget Analysts,detailed,80
24930,13-2041,Credit Analysts,detailed,110
24931,13-2052,Personal Financial Advisors,detailed,370
24932,13-2053,Insurance Underwriters,detailed,140
24933,13-2061,Financial Examiners,detailed,220
24934,13-2071,Credit Counselors,detailed,50
24935,13-2072,Loan Officers,detailed,1430
24936,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,70
24937,13-2082,Tax Preparers,detailed,210
24938,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,480
24939,15-1211,Computer Systems Analysts,detailed,450
24940,15-1212,Information Security Analysts,detailed,120
24941,15-1231,Computer Network Support Specialists,detailed,690
24942,15-1232,Computer User Support Specialists,detailed,1850
24943,15-1241,Computer Network Architects,detailed,110
24944,15-1244,Network and Computer Systems Administrators,detailed,590
24945,15-1245,Database Administrators and Architects,detailed,120
24946,15-1251,Computer Programmers,detailed,600
24947,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,1430
24948,15-1257,Web Developers and Digital Interface Designers,detailed,200
24949,15-1299,"Computer Occupations, All Other",detailed,850
