,occ_code,occ_title,o_group,tot_emp
1053,11-0000,Management Occupations,major,34110
1054,13-0000,Business and Financial Operations Occupations,major,29170
1055,15-0000,Computer and Mathematical Occupations,major,10890
1056,17-0000,Architecture and Engineering Occupations,major,9250
1057,19-0000,"Life, Physical, and Social Science Occupations",major,6510
1058,21-0000,Community and Social Service Occupations,major,11030
1059,23-0000,Legal Occupations,major,4050
1060,25-0000,Educational Instruction and Library Occupations,major,44190
1061,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,9350
1062,29-0000,Healthcare Practitioners and Technical Occupations,major,30770
1063,31-0000,Healthcare Support Occupations,major,23430
1064,33-0000,Protective Service Occupations,major,19630
1065,35-0000,Food Preparation and Serving Related Occupations,major,85430
1066,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,36220
1067,39-0000,Personal Care and Service Occupations,major,18620
1068,41-0000,Sales and Related Occupations,major,60260
1069,43-0000,Office and Administrative Support Occupations,major,79410
1070,45-0000,"Farming, Fishing, and Forestry Occupations",major,870
1071,47-0000,Construction and Extraction Occupations,major,31010
1072,49-0000,"Installation, Maintenance, and Repair Occupations",major,25200
1073,51-0000,Production Occupations,major,14910
1074,53-0000,Transportation and Material Moving Occupations,major,51190
9231,11-1011,Chief Executives,detailed,910
9232,11-1021,General and Operations Managers,detailed,9370
9233,11-1031,Legislators,detailed,120
9234,11-2011,Advertising and Promotions Managers,detailed,100
9235,11-2021,Marketing Managers,detailed,670
9236,11-2022,Sales Managers,detailed,1830
9237,11-2030,Public Relations and Fundraising Managers,detailed,430
9238,11-3010,Administrative Services and Facilities Managers,detailed,1610
9239,11-3021,Computer and Information Systems Managers,detailed,990
9240,11-3031,Financial Managers,detailed,2820
9241,11-3051,Industrial Production Managers,detailed,130
9242,11-3061,Purchasing Managers,detailed,260
9243,11-3071,"Transportation, Storage, and Distribution Managers",detailed,500
9244,11-3111,Compensation and Benefits Managers,detailed,40
9245,11-3121,Human Resources Managers,detailed,600
9246,11-3131,Training and Development Managers,detailed,130
9247,11-9021,Construction Managers,detailed,2160
9248,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,180
9249,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,1080
9250,11-9033,"Education Administrators, Postsecondary",detailed,410
9251,11-9039,"Education Administrators, All Other",detailed,200
9252,11-9041,Architectural and Engineering Managers,detailed,890
9253,11-9051,Food Service Managers,detailed,1170
9254,11-9081,Lodging Managers,detailed,350
9255,11-9111,Medical and Health Services Managers,detailed,1540
9256,11-9121,Natural Sciences Managers,detailed,270
9257,11-9131,Postmasters and Mail Superintendents,detailed,60
9258,11-9141,"Property, Real Estate, and Community Association Managers",detailed,2880
9259,11-9151,Social and Community Service Managers,detailed,720
9260,11-9161,Emergency Management Directors,detailed,80
9261,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,1540
9262,13-1020,Buyers and Purchasing Agents,detailed,1760
9263,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,730
9264,13-1041,Compliance Officers,detailed,1650
9265,13-1051,Cost Estimators,detailed,850
9266,13-1071,Human Resources Specialists,detailed,2140
9267,13-1075,Labor Relations Specialists,detailed,490
9268,13-1081,Logisticians,detailed,440
9269,13-1111,Management Analysts,detailed,2010
9270,13-1121,"Meeting, Convention, and Event Planners",detailed,910
9271,13-1131,Fundraisers,detailed,280
9272,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,260
9273,13-1151,Training and Development Specialists,detailed,1080
9274,13-1161,Market Research Analysts and Marketing Specialists,detailed,**
9275,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,5140
9276,13-2011,Accountants and Auditors,detailed,4770
