,occ_code,occ_title,o_group,tot_emp
1273,11-0000,Management Occupations,major,306380
1274,13-0000,Business and Financial Operations Occupations,major,220430
1275,15-0000,Computer and Mathematical Occupations,major,147070
1276,17-0000,Architecture and Engineering Occupations,major,74450
1277,19-0000,"Life, Physical, and Social Science Occupations",major,58340
1278,21-0000,Community and Social Service Occupations,major,83650
1279,23-0000,Legal Occupations,major,29610
1280,25-0000,Educational Instruction and Library Occupations,major,243900
1281,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,52440
1282,29-0000,Healthcare Practitioners and Technical Occupations,major,238920
1283,31-0000,Healthcare Support Occupations,major,192280
1284,33-0000,Protective Service Occupations,major,78730
1285,35-0000,Food Preparation and Serving Related Occupations,major,312680
1286,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,107080
1287,39-0000,Personal Care and Service Occupations,major,88050
1288,41-0000,Sales and Related Occupations,major,315220
1289,43-0000,Office and Administrative Support Occupations,major,445160
1290,45-0000,"Farming, Fishing, and Forestry Occupations",major,2080
1291,47-0000,Construction and Extraction Occupations,major,131900
1292,49-0000,"Installation, Maintenance, and Repair Occupations",major,105990
1293,51-0000,Production Occupations,major,151530
1294,53-0000,Transportation and Material Moving Occupations,major,233750
15966,11-1011,Chief Executives,detailed,7810
15967,11-1021,General and Operations Managers,detailed,82190
15968,11-1031,Legislators,detailed,730
15969,11-2011,Advertising and Promotions Managers,detailed,880
15970,11-2021,Marketing Managers,detailed,16720
15971,11-2022,Sales Managers,detailed,17560
15972,11-2030,Public Relations and Fundraising Managers,detailed,5250
15973,11-3010,Administrative Services and Facilities Managers,detailed,11930
15974,11-3021,Computer and Information Systems Managers,detailed,19750
15975,11-3031,Financial Managers,detailed,33520
15976,11-3051,Industrial Production Managers,detailed,5590
15977,11-3061,Purchasing Managers,detailed,3020
15978,11-3071,"Transportation, Storage, and Distribution Managers",detailed,3270
15979,11-3111,Compensation and Benefits Managers,detailed,830
15980,11-3121,Human Resources Managers,detailed,6740
15981,11-3131,Training and Development Managers,detailed,1970
15982,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,70
15983,11-9021,Construction Managers,detailed,7450
15984,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,2120
15985,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,8290
15986,11-9033,"Education Administrators, Postsecondary",detailed,11490
15987,11-9039,"Education Administrators, All Other",detailed,**
15988,11-9041,Architectural and Engineering Managers,detailed,8190
15989,11-9051,Food Service Managers,detailed,7050
15990,11-9081,Lodging Managers,detailed,**
15991,11-9111,Medical and Health Services Managers,detailed,15810
15992,11-9121,Natural Sciences Managers,detailed,3870
15993,11-9131,Postmasters and Mail Superintendents,detailed,330
15994,11-9141,"Property, Real Estate, and Community Association Managers",detailed,5350
15995,11-9151,Social and Community Service Managers,detailed,7620
15996,11-9161,Emergency Management Directors,detailed,130
15997,11-9171,Funeral Home Managers,detailed,280
15998,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,8440
15999,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,380
16000,13-1020,Buyers and Purchasing Agents,detailed,9190
16001,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,5740
16002,13-1032,"Insurance Appraisers, Auto Damage",detailed,590
16003,13-1041,Compliance Officers,detailed,7660
16004,13-1051,Cost Estimators,detailed,5970
16005,13-1071,Human Resources Specialists,detailed,18910
16006,13-1075,Labor Relations Specialists,detailed,2670
16007,13-1081,Logisticians,detailed,3170
16008,13-1111,Management Analysts,detailed,25620
16009,13-1121,"Meeting, Convention, and Event Planners",detailed,3120
16010,13-1131,Fundraisers,detailed,4230
16011,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,2260
16012,13-1151,Training and Development Specialists,detailed,8590
16013,13-1161,Market Research Analysts and Marketing Specialists,detailed,21260
16014,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,22420
16015,13-2011,Accountants and Auditors,detailed,34630
16016,13-2020,Property Appraisers and Assessors,detailed,1360
16017,13-2031,Budget Analysts,detailed,1550
16018,13-2041,Credit Analysts,detailed,2170
16019,13-2052,Personal Financial Advisors,detailed,7960
16020,13-2053,Insurance Underwriters,detailed,2070
16021,13-2061,Financial Examiners,detailed,950
16022,13-2071,Credit Counselors,detailed,1280
16023,13-2072,Loan Officers,detailed,5490
16024,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,1520
16025,13-2082,Tax Preparers,detailed,1540
16026,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,18130
16027,15-1211,Computer Systems Analysts,detailed,16940
16028,15-1212,Information Security Analysts,detailed,4290
16029,15-1221,Computer and Information Research Scientists,detailed,490
16030,15-1231,Computer Network Support Specialists,detailed,4740
16031,15-1232,Computer User Support Specialists,detailed,19360
16032,15-1241,Computer Network Architects,detailed,5810
16033,15-1244,Network and Computer Systems Administrators,detailed,8610
16034,15-1245,Database Administrators and Architects,detailed,3460
16035,15-1251,Computer Programmers,detailed,4540
16036,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,55710
16037,15-1257,Web Developers and Digital Interface Designers,detailed,4930
16038,15-1299,"Computer Occupations, All Other",detailed,**
16039,15-2011,Actuaries,detailed,1160
16040,15-2021,Mathematicians,detailed,**
16041,15-2031,Operations Research Analysts,detailed,2530
16042,15-2041,Statisticians,detailed,3080
16043,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,590
16044,17-1011,"Architects, Except Landscape and Naval",detailed,3700
16045,17-1012,Landscape Architects,detailed,570
16046,17-1021,Cartographers and Photogrammetrists,detailed,90
16047,17-1022,Surveyors,detailed,1070
16048,17-2011,Aerospace Engineers,detailed,500
16049,17-2031,Bioengineers and Biomedical Engineers,detailed,1390
16050,17-2041,Chemical Engineers,detailed,570
16051,17-2051,Civil Engineers,detailed,7490
16052,17-2061,Computer Hardware Engineers,detailed,1930
16053,17-2071,Electrical Engineers,detailed,6960
16054,17-2072,"Electronics Engineers, Except Computer",detailed,3770
16055,17-2081,Environmental Engineers,detailed,2910
16056,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,710
16057,17-2112,Industrial Engineers,detailed,11750
16058,17-2121,Marine Engineers and Naval Architects,detailed,440
16059,17-2131,Materials Engineers,detailed,630
16060,17-2141,Mechanical Engineers,detailed,9490
16061,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,60
16062,17-2171,Petroleum Engineers,detailed,40
16063,17-2199,"Engineers, All Other",detailed,3090
16064,17-3011,Architectural and Civil Drafters,detailed,1770
16065,17-3012,Electrical and Electronics Drafters,detailed,610
16066,17-3013,Mechanical Drafters,detailed,1680
16067,17-3019,"Drafters, All Other",detailed,100
16068,17-3022,Civil Engineering Technologists and Technicians,detailed,920
16069,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,3600
16070,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,1070
16071,17-3025,Environmental Engineering Technologists and Technicians,detailed,760
16072,17-3026,Industrial Engineering Technologists and Technicians,detailed,3130
16073,17-3027,Mechanical Engineering Technologists and Technicians,detailed,930
16074,17-3031,Surveying and Mapping Technicians,detailed,470
16075,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,2100
16076,19-1012,Food Scientists and Technologists,detailed,310
16077,19-1013,Soil and Plant Scientists,detailed,390
16078,19-1021,Biochemists and Biophysicists,detailed,4250
16079,19-1022,Microbiologists,detailed,930
16080,19-1023,Zoologists and Wildlife Biologists,detailed,440
16081,19-1029,"Biological Scientists, All Other",detailed,3340
16082,19-1031,Conservation Scientists,detailed,410
16083,19-1032,Foresters,detailed,150
16084,19-1041,Epidemiologists,detailed,220
16085,19-1042,"Medical Scientists, Except Epidemiologists",detailed,16860
16086,19-1099,"Life Scientists, All Other",detailed,450
16087,19-2012,Physicists,detailed,510
16088,19-2021,Atmospheric and Space Scientists,detailed,140
16089,19-2031,Chemists,detailed,3560
16090,19-2032,Materials Scientists,detailed,470
16091,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,2120
16092,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,650
16093,19-2043,Hydrologists,detailed,110
16094,19-2099,"Physical Scientists, All Other",detailed,350
16095,19-3011,Economists,detailed,890
16096,19-3022,Survey Researchers,detailed,670
16097,19-3031,"Clinical, Counseling, and School Psychologists",detailed,4010
16098,19-3039,"Psychologists, All Other",detailed,820
16099,19-3041,Sociologists,detailed,110
16100,19-3051,Urban and Regional Planners,detailed,1100
16101,19-3091,Anthropologists and Archeologists,detailed,30
16102,19-3093,Historians,detailed,50
16103,19-3094,Political Scientists,detailed,**
16104,19-3099,"Social Scientists and Related Workers, All Other",detailed,380
16105,19-4010,Agricultural and Food Science Technicians,detailed,390
16106,19-4021,Biological Technicians,detailed,6290
16107,19-4031,Chemical Technicians,detailed,1470
16108,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,560
16109,19-4045,Geological and Hydrologic Technicians,detailed,50
16110,19-4061,Social Science Research Assistants,detailed,2080
16111,19-4071,Forest and Conservation Technicians,detailed,120
16112,19-4092,Forensic Science Technicians,detailed,80
16113,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,1500
16114,19-5011,Occupational Health and Safety Specialists,detailed,1530
16115,19-5012,Occupational Health and Safety Technicians,detailed,240
16116,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,8030
16117,21-1013,Marriage and Family Therapists,detailed,710
16118,21-1015,Rehabilitation Counselors,detailed,6280
16119,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,16120
16120,21-1019,"Counselors, All Other",detailed,280
16121,21-1021,"Child, Family, and School Social Workers",detailed,10780
16122,21-1022,Healthcare Social Workers,detailed,10280
16123,21-1023,Mental Health and Substance Abuse Social Workers,detailed,6870
16124,21-1029,"Social Workers, All Other",detailed,520
16125,21-1091,Health Education Specialists,detailed,2200
16126,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,1140
16127,21-1093,Social and Human Service Assistants,detailed,15540
16128,21-1094,Community Health Workers,detailed,3090
16129,21-1099,"Community and Social Service Specialists, All Other",detailed,1040
16130,21-2011,Clergy,detailed,560
