,occ_code,occ_title,o_group,tot_emp
1251,11-0000,Management Occupations,major,169170
1252,13-0000,Business and Financial Operations Occupations,major,176770
1253,15-0000,Computer and Mathematical Occupations,major,133600
1254,17-0000,Architecture and Engineering Occupations,major,59750
1255,19-0000,"Life, Physical, and Social Science Occupations",major,43350
1256,21-0000,Community and Social Service Occupations,major,43910
1257,23-0000,Legal Occupations,major,25440
1258,25-0000,Educational Instruction and Library Occupations,major,177330
1259,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,32820
1260,29-0000,Healthcare Practitioners and Technical Occupations,major,169210
1261,31-0000,Healthcare Support Occupations,major,97740
1262,33-0000,Protective Service Occupations,major,73260
1263,35-0000,Food Preparation and Serving Related Occupations,major,221750
1264,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,86510
1265,39-0000,Personal Care and Service Occupations,major,76990
1266,41-0000,Sales and Related Occupations,major,262540
1267,43-0000,Office and Administrative Support Occupations,major,335790
1268,45-0000,"Farming, Fishing, and Forestry Occupations",major,3320
1269,47-0000,Construction and Extraction Occupations,major,120930
1270,49-0000,"Installation, Maintenance, and Repair Occupations",major,103700
1271,51-0000,Production Occupations,major,80350
1272,53-0000,Transportation and Material Moving Occupations,major,206760
15244,11-1011,Chief Executives,detailed,**
15245,11-1021,General and Operations Managers,detailed,47870
15246,11-1031,Legislators,detailed,650
15247,11-2011,Advertising and Promotions Managers,detailed,550
15248,11-2021,Marketing Managers,detailed,4580
15249,11-2022,Sales Managers,detailed,6780
15250,11-2030,Public Relations and Fundraising Managers,detailed,1810
15251,11-3010,Administrative Services and Facilities Managers,detailed,5720
15252,11-3021,Computer and Information Systems Managers,detailed,11730
15253,11-3031,Financial Managers,detailed,12840
15254,11-3051,Industrial Production Managers,detailed,1650
15255,11-3061,Purchasing Managers,detailed,1790
15256,11-3071,"Transportation, Storage, and Distribution Managers",detailed,2370
15257,11-3111,Compensation and Benefits Managers,detailed,400
15258,11-3121,Human Resources Managers,detailed,2740
15259,11-3131,Training and Development Managers,detailed,1340
15260,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,40
15261,11-9021,Construction Managers,detailed,6610
15262,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,970
15263,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,4680
15264,11-9033,"Education Administrators, Postsecondary",detailed,**
15265,11-9039,"Education Administrators, All Other",detailed,2550
15266,11-9041,Architectural and Engineering Managers,detailed,5100
15267,11-9051,Food Service Managers,detailed,2700
15268,11-9071,Gambling Managers,detailed,90
15269,11-9081,Lodging Managers,detailed,390
15270,11-9111,Medical and Health Services Managers,detailed,10890
15271,11-9121,Natural Sciences Managers,detailed,3620
15272,11-9131,Postmasters and Mail Superintendents,detailed,230
15273,11-9141,"Property, Real Estate, and Community Association Managers",detailed,5170
15274,11-9151,Social and Community Service Managers,detailed,3290
15275,11-9161,Emergency Management Directors,detailed,150
