,occ_code,occ_title,o_group,tot_emp
1823,11-0000,Management Occupations,major,186600
1824,13-0000,Business and Financial Operations Occupations,major,283820
1825,15-0000,Computer and Mathematical Occupations,major,215480
1826,17-0000,Architecture and Engineering Occupations,major,77800
1827,19-0000,"Life, Physical, and Social Science Occupations",major,35660
1828,21-0000,Community and Social Service Occupations,major,58510
1829,23-0000,Legal Occupations,major,36450
1830,25-0000,Educational Instruction and Library Occupations,major,247050
1831,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,50020
1832,29-0000,Healthcare Practitioners and Technical Occupations,major,214200
1833,31-0000,Healthcare Support Occupations,major,137930
1834,33-0000,Protective Service Occupations,major,106920
1835,35-0000,Food Preparation and Serving Related Occupations,major,330280
1836,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,124470
1837,39-0000,Personal Care and Service Occupations,major,90560
1838,41-0000,Sales and Related Occupations,major,385790
1839,43-0000,Office and Administrative Support Occupations,major,485170
1840,45-0000,"Farming, Fishing, and Forestry Occupations",major,5370
1841,47-0000,Construction and Extraction Occupations,major,167520
1842,49-0000,"Installation, Maintenance, and Repair Occupations",major,158590
1843,51-0000,Production Occupations,major,180930
1844,53-0000,Transportation and Material Moving Occupations,major,299650
32869,11-1011,Chief Executives,detailed,6440
32870,11-1021,General and Operations Managers,detailed,58150
32871,11-1031,Legislators,detailed,450
32872,11-2011,Advertising and Promotions Managers,detailed,**
32873,11-2021,Marketing Managers,detailed,5150
32874,11-2022,Sales Managers,detailed,6150
32875,11-2030,Public Relations and Fundraising Managers,detailed,**
32876,11-3010,Administrative Services and Facilities Managers,detailed,4370
32877,11-3021,Computer and Information Systems Managers,detailed,14680
32878,11-3031,Financial Managers,detailed,16250
32879,11-3051,Industrial Production Managers,detailed,2440
32880,11-3061,Purchasing Managers,detailed,2680
32881,11-3071,"Transportation, Storage, and Distribution Managers",detailed,2310
32882,11-3111,Compensation and Benefits Managers,detailed,310
32883,11-3121,Human Resources Managers,detailed,4060
32884,11-3131,Training and Development Managers,detailed,1040
32885,11-9021,Construction Managers,detailed,5790
32886,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,1040
32887,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,7180
32888,11-9033,"Education Administrators, Postsecondary",detailed,2780
32889,11-9039,"Education Administrators, All Other",detailed,1250
32890,11-9041,Architectural and Engineering Managers,detailed,4110
32891,11-9051,Food Service Managers,detailed,3690
32892,11-9081,Lodging Managers,detailed,830
32893,11-9111,Medical and Health Services Managers,detailed,7740
32894,11-9121,Natural Sciences Managers,detailed,1270
32895,11-9131,Postmasters and Mail Superintendents,detailed,370
32896,11-9141,"Property, Real Estate, and Community Association Managers",detailed,2610
32897,11-9151,Social and Community Service Managers,detailed,2730
32898,11-9161,Emergency Management Directors,detailed,290
32899,11-9171,Funeral Home Managers,detailed,150
32900,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,17990
32901,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,140
32902,13-1020,Buyers and Purchasing Agents,detailed,15850
32903,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,4240
32904,13-1032,"Insurance Appraisers, Auto Damage",detailed,270
32905,13-1041,Compliance Officers,detailed,9330
32906,13-1051,Cost Estimators,detailed,8720
32907,13-1071,Human Resources Specialists,detailed,21900
32908,13-1075,Labor Relations Specialists,detailed,1240
32909,13-1081,Logisticians,detailed,7850
32910,13-1111,Management Analysts,detailed,47320
32911,13-1121,"Meeting, Convention, and Event Planners",detailed,4130
32912,13-1131,Fundraisers,detailed,2920
32913,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,2380
32914,13-1151,Training and Development Specialists,detailed,13610
32915,13-1161,Market Research Analysts and Marketing Specialists,detailed,21320
32916,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,36920
32917,13-2011,Accountants and Auditors,detailed,42200
32918,13-2020,Property Appraisers and Assessors,detailed,1350
32919,13-2031,Budget Analysts,detailed,3370
32920,13-2041,Credit Analysts,detailed,2270
32921,13-2052,Personal Financial Advisors,detailed,4500
32922,13-2053,Insurance Underwriters,detailed,2050
32923,13-2061,Financial Examiners,detailed,1640
32924,13-2071,Credit Counselors,detailed,590
32925,13-2072,Loan Officers,detailed,10280
32926,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,1310
32927,13-2082,Tax Preparers,detailed,2070
32928,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,14020
32929,15-1211,Computer Systems Analysts,detailed,26310
32930,15-1212,Information Security Analysts,detailed,15010
32931,15-1221,Computer and Information Research Scientists,detailed,3180
32932,15-1231,Computer Network Support Specialists,detailed,6780
32933,15-1232,Computer User Support Specialists,detailed,19730
32934,15-1241,Computer Network Architects,detailed,8030
32935,15-1244,Network and Computer Systems Administrators,detailed,18510
32936,15-1245,Database Administrators and Architects,detailed,6520
32937,15-1251,Computer Programmers,detailed,6650
32938,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,73310
32939,15-1257,Web Developers and Digital Interface Designers,detailed,5030
32940,15-1299,"Computer Occupations, All Other",detailed,14560
32941,15-2011,Actuaries,detailed,330
32942,15-2021,Mathematicians,detailed,410
32943,15-2031,Operations Research Analysts,detailed,8770
32944,15-2041,Statisticians,detailed,1350
32945,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,1020
32946,17-1011,"Architects, Except Landscape and Naval",detailed,2530
32947,17-1012,Landscape Architects,detailed,630
32948,17-1021,Cartographers and Photogrammetrists,detailed,460
32949,17-1022,Surveyors,detailed,1430
32950,17-2011,Aerospace Engineers,detailed,1830
32951,17-2031,Bioengineers and Biomedical Engineers,detailed,**
32952,17-2041,Chemical Engineers,detailed,860
32953,17-2051,Civil Engineers,detailed,10850
32954,17-2061,Computer Hardware Engineers,detailed,1850
32955,17-2071,Electrical Engineers,detailed,6150
32956,17-2072,"Electronics Engineers, Except Computer",detailed,4390
32957,17-2081,Environmental Engineers,detailed,1460
32958,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,480
32959,17-2112,Industrial Engineers,detailed,5600
32960,17-2121,Marine Engineers and Naval Architects,detailed,2520
32961,17-2131,Materials Engineers,detailed,420
32962,17-2141,Mechanical Engineers,detailed,7690
32963,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,120
32964,17-2161,Nuclear Engineers,detailed,2340
32965,17-2171,Petroleum Engineers,detailed,100
32966,17-2199,"Engineers, All Other",detailed,4050
32967,17-3011,Architectural and Civil Drafters,detailed,2180
32968,17-3012,Electrical and Electronics Drafters,detailed,440
32969,17-3013,Mechanical Drafters,detailed,1230
32970,17-3019,"Drafters, All Other",detailed,140
32971,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,200
32972,17-3022,Civil Engineering Technologists and Technicians,detailed,2160
32973,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,5370
32974,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,620
32975,17-3025,Environmental Engineering Technologists and Technicians,detailed,930
32976,17-3026,Industrial Engineering Technologists and Technicians,detailed,1540
32977,17-3027,Mechanical Engineering Technologists and Technicians,detailed,1020
32978,17-3031,Surveying and Mapping Technicians,detailed,2140
32979,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,3610
32980,19-1012,Food Scientists and Technologists,detailed,160
32981,19-1013,Soil and Plant Scientists,detailed,150
32982,19-1021,Biochemists and Biophysicists,detailed,460
32983,19-1022,Microbiologists,detailed,480
32984,19-1023,Zoologists and Wildlife Biologists,detailed,270
32985,19-1029,"Biological Scientists, All Other",detailed,560
32986,19-1031,Conservation Scientists,detailed,490
32987,19-1032,Foresters,detailed,310
32988,19-1041,Epidemiologists,detailed,190
32989,19-1042,"Medical Scientists, Except Epidemiologists",detailed,1630
32990,19-1099,"Life Scientists, All Other",detailed,180
32991,19-2011,Astronomers,detailed,100
32992,19-2012,Physicists,detailed,850
32993,19-2021,Atmospheric and Space Scientists,detailed,290
32994,19-2031,Chemists,detailed,1420
32995,19-2032,Materials Scientists,detailed,140
32996,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,3270
32997,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,300
32998,19-2043,Hydrologists,detailed,60
32999,19-2099,"Physical Scientists, All Other",detailed,1700
33000,19-3011,Economists,detailed,1200
33001,19-3022,Survey Researchers,detailed,230
33002,19-3031,"Clinical, Counseling, and School Psychologists",detailed,2810
33003,19-3032,Industrial-Organizational Psychologists,detailed,90
33004,19-3039,"Psychologists, All Other",detailed,440
33005,19-3051,Urban and Regional Planners,detailed,1330
33006,19-3091,Anthropologists and Archeologists,detailed,250
33007,19-3092,Geographers,detailed,80
33008,19-3093,Historians,detailed,160
33009,19-3094,Political Scientists,detailed,1140
33010,19-3099,"Social Scientists and Related Workers, All Other",detailed,3240
33011,19-4010,Agricultural and Food Science Technicians,detailed,270
33012,19-4021,Biological Technicians,detailed,1650
33013,19-4031,Chemical Technicians,detailed,1260
33014,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,930
33015,19-4045,Geological and Hydrologic Technicians,detailed,150
33016,19-4051,Nuclear Technicians,detailed,**
33017,19-4071,Forest and Conservation Technicians,detailed,280
33018,19-4092,Forensic Science Technicians,detailed,440
33019,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,1530
33020,19-5011,Occupational Health and Safety Specialists,detailed,2870
33021,19-5012,Occupational Health and Safety Technicians,detailed,580
33022,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,7220
33023,21-1013,Marriage and Family Therapists,detailed,550
33024,21-1015,Rehabilitation Counselors,detailed,3350
33025,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,12100
33026,21-1019,"Counselors, All Other",detailed,280
33027,21-1021,"Child, Family, and School Social Workers",detailed,9270
33028,21-1022,Healthcare Social Workers,detailed,3410
33029,21-1023,Mental Health and Substance Abuse Social Workers,detailed,4540
33030,21-1029,"Social Workers, All Other",detailed,640
33031,21-1091,Health Education Specialists,detailed,1200
33032,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,2770
33033,21-1093,Social and Human Service Assistants,detailed,8310
33034,21-1094,Community Health Workers,detailed,890
33035,21-1099,"Community and Social Service Specialists, All Other",detailed,2050
33036,21-2011,Clergy,detailed,1160
33037,21-2021,"Directors, Religious Activities and Education",detailed,690
33038,21-2099,"Religious Workers, All Other",detailed,80
33039,23-1011,Lawyers,detailed,16910
33040,23-1012,Judicial Law Clerks,detailed,70
33041,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,500
33042,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,**
33043,23-2011,Paralegals and Legal Assistants,detailed,10220
33044,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,1510
33045,23-2099,"Legal Support Workers, All Other",detailed,6990
33046,25-1011,"Business Teachers, Postsecondary",detailed,2940
33047,25-1021,"Computer Science Teachers, Postsecondary",detailed,1600
33048,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,2030
33049,25-1031,"Architecture Teachers, Postsecondary",detailed,120
33050,25-1032,"Engineering Teachers, Postsecondary",detailed,830
33051,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,270
33052,25-1042,"Biological Science Teachers, Postsecondary",detailed,1840
33053,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,460
33054,25-1052,"Chemistry Teachers, Postsecondary",detailed,840
33055,25-1054,"Physics Teachers, Postsecondary",detailed,460
33056,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,120
33057,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,270
33058,25-1063,"Economics Teachers, Postsecondary",detailed,390
33059,25-1064,"Geography Teachers, Postsecondary",detailed,230
33060,25-1065,"Political Science Teachers, Postsecondary",detailed,870
33061,25-1066,"Psychology Teachers, Postsecondary",detailed,1340
33062,25-1067,"Sociology Teachers, Postsecondary",detailed,440
33063,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,110
33064,25-1071,"Health Specialties Teachers, Postsecondary",detailed,4000
33065,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,1500
33066,25-1081,"Education Teachers, Postsecondary",detailed,2430
33067,25-1082,"Library Science Teachers, Postsecondary",detailed,**
33068,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,450
33069,25-1112,"Law Teachers, Postsecondary",detailed,600
33070,25-1113,"Social Work Teachers, Postsecondary",detailed,310
33071,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,3320
33072,25-1122,"Communications Teachers, Postsecondary",detailed,**
33073,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,2250
33074,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,1090
33075,25-1125,"History Teachers, Postsecondary",detailed,1090
33076,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,970
33077,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,900
33078,25-1194,"Career/Technical Education Teachers, Postsecondary",detailed,2760
33079,25-2011,"Preschool Teachers, Except Special Education",detailed,10360
33080,25-2012,"Kindergarten Teachers, Except Special Education",detailed,4030
33081,25-2021,"Elementary School Teachers, Except Special Education",detailed,38700
33082,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,18300
33083,25-2023,"Career/Technical Education Teachers, Middle School",detailed,350
33084,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,25620
33085,25-2032,"Career/Technical Education Teachers, Secondary School",detailed,2770
33086,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,5740
33087,25-2057,"Special Education Teachers, Middle School",detailed,3120
33088,25-2058,"Special Education Teachers, Secondary School",detailed,3930
33089,25-2059,"Special Education Teachers, All Other",detailed,1830
33090,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,1040
33091,25-3021,Self-Enrichment Teachers,detailed,6460
33092,25-3031,"Substitute Teachers, Short-Term",detailed,25350
33093,25-3097,"Tutors and Teachers and Instructors, All Other",detailed,7810
33094,25-4011,Archivists,detailed,190
33095,25-4012,Curators,detailed,330
33096,25-4013,Museum Technicians and Conservators,detailed,570
33097,25-4022,Librarians and Media Collections Specialists,detailed,4410
33098,25-4031,Library Technicians,detailed,2450
33099,25-9021,Farm and Home Management Educators,detailed,340
33100,25-9031,Instructional Coordinators,detailed,5290
33101,25-9044,"Teaching Assistants, Postsecondary",detailed,2920
33102,25-9045,"Teaching Assistants, Except Postsecondary",detailed,32270
33103,25-9099,"Educational Instruction and Library Workers, All Other",detailed,1640
33104,27-1011,Art Directors,detailed,560
33105,27-1012,Craft Artists,detailed,70
33106,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,230
33107,27-1014,Special Effects Artists and Animators,detailed,380
33108,27-1019,"Artists and Related Workers, All Other",detailed,280
33109,27-1021,Commercial and Industrial Designers,detailed,**
33110,27-1023,Floral Designers,detailed,1050
33111,27-1024,Graphic Designers,detailed,5100
33112,27-1025,Interior Designers,detailed,1130
33113,27-1026,Merchandise Displayers and Window Trimmers,detailed,3500
33114,27-1027,Set and Exhibit Designers,detailed,220
33115,27-2011,Actors,detailed,550
33116,27-2012,Producers and Directors,detailed,2080
33117,27-2022,Coaches and Scouts,detailed,7100
33118,27-2023,"Umpires, Referees, and Other Sports Officials",detailed,240
33119,27-2031,Dancers,detailed,**
33120,27-2032,Choreographers,detailed,200
33121,27-2041,Music Directors and Composers,detailed,290
33122,27-2042,Musicians and Singers,detailed,840
33123,27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",detailed,190
33124,27-3011,Broadcast Announcers and Radio Disc Jockeys,detailed,510
33125,27-3023,"News Analysts, Reporters, and Journalists",detailed,930
33126,27-3031,Public Relations Specialists,detailed,7640
33127,27-3041,Editors,detailed,3060
33128,27-3042,Technical Writers,detailed,2720
33129,27-3043,Writers and Authors,detailed,1210
33130,27-3091,Interpreters and Translators,detailed,2350
33131,27-3092,Court Reporters and Simultaneous Captioners,detailed,210
33132,27-3099,"Media and Communication Workers, All Other",detailed,450
33133,27-4011,Audio and Video Technicians,detailed,1730
33134,27-4012,Broadcast Technicians,detailed,910
33135,27-4014,Sound Engineering Technicians,detailed,230
33136,27-4021,Photographers,detailed,740
33137,27-4031,"Camera Operators, Television, Video, and Film",detailed,750
33138,27-4032,Film and Video Editors,detailed,350
33139,27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other",detailed,480
33140,29-1011,Chiropractors,detailed,860
33141,29-1021,"Dentists, General",detailed,3430
33142,29-1022,Oral and Maxillofacial Surgeons,detailed,160
33143,29-1023,Orthodontists,detailed,120
33144,29-1029,"Dentists, All Other Specialists",detailed,80
33145,29-1031,Dietitians and Nutritionists,detailed,1680
33146,29-1041,Optometrists,detailed,1160
33147,29-1051,Pharmacists,detailed,7510
33148,29-1071,Physician Assistants,detailed,2510
33149,29-1081,Podiatrists,detailed,290
33150,29-1122,Occupational Therapists,detailed,3050
33151,29-1123,Physical Therapists,detailed,6720
