,occ_code,occ_title,o_group,tot_emp
1339,11-0000,Management Occupations,major,52970
1340,13-0000,Business and Financial Operations Occupations,major,34000
1341,15-0000,Computer and Mathematical Occupations,major,13100
1342,17-0000,Architecture and Engineering Occupations,major,14950
1343,19-0000,"Life, Physical, and Social Science Occupations",major,7150
1344,21-0000,Community and Social Service Occupations,major,14430
1345,23-0000,Legal Occupations,major,5710
1346,25-0000,Educational Instruction and Library Occupations,major,73100
1347,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,8420
1348,29-0000,Healthcare Practitioners and Technical Occupations,major,78860
1349,31-0000,Healthcare Support Occupations,major,45380
1350,33-0000,Protective Service Occupations,major,32180
1351,35-0000,Food Preparation and Serving Related Occupations,major,102470
1352,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,34750
1353,39-0000,Personal Care and Service Occupations,major,23220
1354,41-0000,Sales and Related Occupations,major,117170
1355,43-0000,Office and Administrative Support Occupations,major,144010
1356,45-0000,"Farming, Fishing, and Forestry Occupations",major,4660
1357,47-0000,Construction and Extraction Occupations,major,42570
1358,49-0000,"Installation, Maintenance, and Repair Occupations",major,51750
1359,51-0000,Production Occupations,major,104830
1360,53-0000,Transportation and Material Moving Occupations,major,122600
18154,11-1011,Chief Executives,detailed,650
18155,11-1021,General and Operations Managers,detailed,20530
18156,11-1031,Legislators,detailed,150
18157,11-2011,Advertising and Promotions Managers,detailed,80
18158,11-2021,Marketing Managers,detailed,650
18159,11-2022,Sales Managers,detailed,1200
18160,11-2030,Public Relations and Fundraising Managers,detailed,210
18161,11-3010,Administrative Services and Facilities Managers,detailed,2460
18162,11-3021,Computer and Information Systems Managers,detailed,1090
18163,11-3031,Financial Managers,detailed,4030
18164,11-3051,Industrial Production Managers,detailed,1770
18165,11-3061,Purchasing Managers,detailed,430
18166,11-3071,"Transportation, Storage, and Distribution Managers",detailed,1040
18167,11-3111,Compensation and Benefits Managers,detailed,60
18168,11-3121,Human Resources Managers,detailed,620
18169,11-3131,Training and Development Managers,detailed,130
18170,11-9021,Construction Managers,detailed,1210
18171,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,400
18172,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,2910
18173,11-9033,"Education Administrators, Postsecondary",detailed,1460
18174,11-9039,"Education Administrators, All Other",detailed,170
18175,11-9041,Architectural and Engineering Managers,detailed,920
18176,11-9051,Food Service Managers,detailed,2290
18177,11-9071,Gambling Managers,detailed,280
18178,11-9081,Lodging Managers,detailed,610
18179,11-9111,Medical and Health Services Managers,detailed,3030
18180,11-9121,Natural Sciences Managers,detailed,190
18181,11-9131,Postmasters and Mail Superintendents,detailed,180
18182,11-9141,"Property, Real Estate, and Community Association Managers",detailed,1810
18183,11-9151,Social and Community Service Managers,detailed,760
18184,11-9161,Emergency Management Directors,detailed,140
18185,11-9171,Funeral Home Managers,detailed,130
18186,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,1330
18187,13-1020,Buyers and Purchasing Agents,detailed,2150
18188,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,1170
18189,13-1041,Compliance Officers,detailed,2030
18190,13-1051,Cost Estimators,detailed,1240
18191,13-1071,Human Resources Specialists,detailed,3060
18192,13-1075,Labor Relations Specialists,detailed,290
18193,13-1081,Logisticians,detailed,870
18194,13-1111,Management Analysts,detailed,1730
18195,13-1121,"Meeting, Convention, and Event Planners",detailed,270
18196,13-1131,Fundraisers,detailed,200
18197,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,370
18198,13-1151,Training and Development Specialists,detailed,1480
18199,13-1161,Market Research Analysts and Marketing Specialists,detailed,2580
18200,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,4000
18201,13-2011,Accountants and Auditors,detailed,5780
18202,13-2020,Property Appraisers and Assessors,detailed,320
18203,13-2031,Budget Analysts,detailed,440
18204,13-2041,Credit Analysts,detailed,290
18205,13-2052,Personal Financial Advisors,detailed,700
18206,13-2053,Insurance Underwriters,detailed,310
18207,13-2061,Financial Examiners,detailed,140
18208,13-2071,Credit Counselors,detailed,230
18209,13-2072,Loan Officers,detailed,2560
18210,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,470
18211,13-2082,Tax Preparers,detailed,450
18212,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,850
18213,15-1211,Computer Systems Analysts,detailed,2060
18214,15-1212,Information Security Analysts,detailed,400
18215,15-1221,Computer and Information Research Scientists,detailed,290
18216,15-1231,Computer Network Support Specialists,detailed,1110
18217,15-1232,Computer User Support Specialists,detailed,2390
18218,15-1241,Computer Network Architects,detailed,330
18219,15-1244,Network and Computer Systems Administrators,detailed,1500
18220,15-1245,Database Administrators and Architects,detailed,390
18221,15-1251,Computer Programmers,detailed,780
18222,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,2200
18223,15-1257,Web Developers and Digital Interface Designers,detailed,320
18224,15-1299,"Computer Occupations, All Other",detailed,900
18225,15-2011,Actuaries,detailed,**
18226,15-2031,Operations Research Analysts,detailed,290
18227,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,40
18228,17-1011,"Architects, Except Landscape and Naval",detailed,300
18229,17-1021,Cartographers and Photogrammetrists,detailed,30
18230,17-1022,Surveyors,detailed,390
18231,17-2011,Aerospace Engineers,detailed,80
18232,17-2031,Bioengineers and Biomedical Engineers,detailed,30
18233,17-2041,Chemical Engineers,detailed,210
18234,17-2051,Civil Engineers,detailed,1740
18235,17-2061,Computer Hardware Engineers,detailed,130
18236,17-2071,Electrical Engineers,detailed,1290
18237,17-2072,"Electronics Engineers, Except Computer",detailed,500
18238,17-2081,Environmental Engineers,detailed,390
18239,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,150
18240,17-2112,Industrial Engineers,detailed,2040
18241,17-2121,Marine Engineers and Naval Architects,detailed,290
18242,17-2131,Materials Engineers,detailed,170
18243,17-2141,Mechanical Engineers,detailed,1440
18244,17-2161,Nuclear Engineers,detailed,120
18245,17-2171,Petroleum Engineers,detailed,500
18246,17-2199,"Engineers, All Other",detailed,570
18247,17-3011,Architectural and Civil Drafters,detailed,450
18248,17-3012,Electrical and Electronics Drafters,detailed,90
18249,17-3013,Mechanical Drafters,detailed,410
18250,17-3019,"Drafters, All Other",detailed,80
18251,17-3022,Civil Engineering Technologists and Technicians,detailed,870
18252,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,980
18253,17-3025,Environmental Engineering Technologists and Technicians,detailed,90
18254,17-3026,Industrial Engineering Technologists and Technicians,detailed,300
18255,17-3027,Mechanical Engineering Technologists and Technicians,detailed,160
18256,17-3031,Surveying and Mapping Technicians,detailed,550
18257,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,460
18258,19-1013,Soil and Plant Scientists,detailed,70
18259,19-1023,Zoologists and Wildlife Biologists,detailed,220
18260,19-1029,"Biological Scientists, All Other",detailed,300
18261,19-1031,Conservation Scientists,detailed,840
18262,19-1041,Epidemiologists,detailed,70
18263,19-1042,"Medical Scientists, Except Epidemiologists",detailed,250
18264,19-2012,Physicists,detailed,100
18265,19-2021,Atmospheric and Space Scientists,detailed,120
18266,19-2031,Chemists,detailed,300
18267,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,340
18268,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,360
18269,19-2099,"Physical Scientists, All Other",detailed,320
18270,19-3011,Economists,detailed,40
18271,19-3031,"Clinical, Counseling, and School Psychologists",detailed,210
18272,19-3039,"Psychologists, All Other",detailed,50
18273,19-3051,Urban and Regional Planners,detailed,150
18274,19-3093,Historians,detailed,110
18275,19-3099,"Social Scientists and Related Workers, All Other",detailed,160
18276,19-4010,Agricultural and Food Science Technicians,detailed,180
18277,19-4021,Biological Technicians,detailed,340
18278,19-4031,Chemical Technicians,detailed,390
18279,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,80
18280,19-4045,Geological and Hydrologic Technicians,detailed,90
18281,19-4051,Nuclear Technicians,detailed,40
18282,19-4071,Forest and Conservation Technicians,detailed,150
18283,19-4092,Forensic Science Technicians,detailed,110
18284,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,300
18285,19-5011,Occupational Health and Safety Specialists,detailed,610
18286,19-5012,Occupational Health and Safety Technicians,detailed,280
18287,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,1960
18288,21-1013,Marriage and Family Therapists,detailed,130
18289,21-1015,Rehabilitation Counselors,detailed,460
18290,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,1750
18291,21-1021,"Child, Family, and School Social Workers",detailed,2680
18292,21-1022,Healthcare Social Workers,detailed,1320
18293,21-1023,Mental Health and Substance Abuse Social Workers,detailed,910
18294,21-1029,"Social Workers, All Other",detailed,370
18295,21-1091,Health Education Specialists,detailed,430
18296,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,560
18297,21-1093,Social and Human Service Assistants,detailed,2040
18298,21-1094,Community Health Workers,detailed,820
18299,21-1099,"Community and Social Service Specialists, All Other",detailed,570
18300,21-2011,Clergy,detailed,370
18301,21-2021,"Directors, Religious Activities and Education",detailed,40
18302,23-1011,Lawyers,detailed,3260
18303,23-1012,Judicial Law Clerks,detailed,50
18304,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,80
18305,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,310
18306,23-2011,Paralegals and Legal Assistants,detailed,1740
18307,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,**
18308,23-2099,"Legal Support Workers, All Other",detailed,90
18309,25-1011,"Business Teachers, Postsecondary",detailed,430
18310,25-1021,"Computer Science Teachers, Postsecondary",detailed,210
18311,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,360
18312,25-1031,"Architecture Teachers, Postsecondary",detailed,70
18313,25-1032,"Engineering Teachers, Postsecondary",detailed,210
18314,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,80
18315,25-1042,"Biological Science Teachers, Postsecondary",detailed,450
18316,25-1052,"Chemistry Teachers, Postsecondary",detailed,120
18317,25-1054,"Physics Teachers, Postsecondary",detailed,60
18318,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,30
18319,25-1063,"Economics Teachers, Postsecondary",detailed,50
18320,25-1064,"Geography Teachers, Postsecondary",detailed,40
18321,25-1065,"Political Science Teachers, Postsecondary",detailed,60
18322,25-1066,"Psychology Teachers, Postsecondary",detailed,340
18323,25-1067,"Sociology Teachers, Postsecondary",detailed,80
18324,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,170
18325,25-1071,"Health Specialties Teachers, Postsecondary",detailed,1720
18326,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,580
18327,25-1081,"Education Teachers, Postsecondary",detailed,590
18328,25-1082,"Library Science Teachers, Postsecondary",detailed,90
18329,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,60
18330,25-1113,"Social Work Teachers, Postsecondary",detailed,100
18331,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,810
18332,25-1122,"Communications Teachers, Postsecondary",detailed,170
18333,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,490
18334,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,110
18335,25-1125,"History Teachers, Postsecondary",detailed,220
18336,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,90
18337,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",detailed,100
18338,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,170
18339,25-1194,"Career/Technical Education Teachers, Postsecondary",detailed,830
18340,25-1199,"Postsecondary Teachers, All Other",detailed,2330
18341,25-2011,"Preschool Teachers, Except Special Education",detailed,2460
18342,25-2012,"Kindergarten Teachers, Except Special Education",detailed,1170
18343,25-2021,"Elementary School Teachers, Except Special Education",detailed,12340
18344,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,6180
18345,25-2023,"Career/Technical Education Teachers, Middle School",detailed,130
18346,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,8850
18347,25-2032,"Career/Technical Education Teachers, Secondary School",detailed,1220
18348,25-2051,"Special Education Teachers, Preschool",detailed,150
18349,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,2100
18350,25-2057,"Special Education Teachers, Middle School",detailed,890
18351,25-2058,"Special Education Teachers, Secondary School",detailed,1140
18352,25-2059,"Special Education Teachers, All Other",detailed,50
18353,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,950
18354,25-3021,Self-Enrichment Teachers,detailed,1060
18355,25-3031,"Substitute Teachers, Short-Term",detailed,7350
18356,25-3097,"Tutors and Teachers and Instructors, All Other",detailed,1450
18357,25-4012,Curators,detailed,40
18358,25-4022,Librarians and Media Collections Specialists,detailed,1370
18359,25-4031,Library Technicians,detailed,590
18360,25-9021,Farm and Home Management Educators,detailed,100
18361,25-9031,Instructional Coordinators,detailed,1310
18362,25-9044,"Teaching Assistants, Postsecondary",detailed,310
18363,25-9045,"Teaching Assistants, Except Postsecondary",detailed,10280
18364,25-9099,"Educational Instruction and Library Workers, All Other",detailed,250
18365,27-1011,Art Directors,detailed,70
18366,27-1014,Special Effects Artists and Animators,detailed,40
18367,27-1023,Floral Designers,detailed,320
18368,27-1024,Graphic Designers,detailed,840
18369,27-1025,Interior Designers,detailed,100
18370,27-1026,Merchandise Displayers and Window Trimmers,detailed,700
18371,27-2011,Actors,detailed,50
18372,27-2012,Producers and Directors,detailed,270
18373,27-2021,Athletes and Sports Competitors,detailed,40
