,occ_code,occ_title,o_group,tot_emp
1295,11-0000,Management Occupations,major,211170
1296,13-0000,Business and Financial Operations Occupations,major,222190
1297,15-0000,Computer and Mathematical Occupations,major,111930
1298,17-0000,Architecture and Engineering Occupations,major,139900
1299,19-0000,"Life, Physical, and Social Science Occupations",major,31540
1300,21-0000,Community and Social Service Occupations,major,62870
1301,23-0000,Legal Occupations,major,25940
1302,25-0000,Educational Instruction and Library Occupations,major,225130
1303,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,54050
1304,29-0000,Healthcare Practitioners and Technical Occupations,major,279500
1305,31-0000,Healthcare Support Occupations,major,180500
1306,33-0000,Protective Service Occupations,major,77640
1307,35-0000,Food Preparation and Serving Related Occupations,major,393970
1308,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,126870
1309,39-0000,Personal Care and Service Occupations,major,90160
1310,41-0000,Sales and Related Occupations,major,409870
1311,43-0000,Office and Administrative Support Occupations,major,543970
1312,45-0000,"Farming, Fishing, and Forestry Occupations",major,5180
1313,47-0000,Construction and Extraction Occupations,major,147200
1314,49-0000,"Installation, Maintenance, and Repair Occupations",major,172470
1315,51-0000,Production Occupations,major,476190
1316,53-0000,Transportation and Material Moving Occupations,major,356000
16691,11-1011,Chief Executives,detailed,2640
16692,11-1021,General and Operations Managers,detailed,65180
16693,11-1031,Legislators,detailed,2500
16694,11-2011,Advertising and Promotions Managers,detailed,500
16695,11-2021,Marketing Managers,detailed,4510
16696,11-2022,Sales Managers,detailed,9440
16697,11-2030,Public Relations and Fundraising Managers,detailed,1420
16698,11-3010,Administrative Services and Facilities Managers,detailed,8440
16699,11-3021,Computer and Information Systems Managers,detailed,10220
16700,11-3031,Financial Managers,detailed,15040
16701,11-3051,Industrial Production Managers,detailed,12820
16702,11-3061,Purchasing Managers,detailed,2060
16703,11-3071,"Transportation, Storage, and Distribution Managers",detailed,3860
16704,11-3111,Compensation and Benefits Managers,detailed,340
16705,11-3121,Human Resources Managers,detailed,3850
16706,11-3131,Training and Development Managers,detailed,570
16707,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,90
16708,11-9021,Construction Managers,detailed,5090
16709,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,880
16710,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,6650
16711,11-9033,"Education Administrators, Postsecondary",detailed,5180
16712,11-9039,"Education Administrators, All Other",detailed,750
16713,11-9041,Architectural and Engineering Managers,detailed,11410
16714,11-9051,Food Service Managers,detailed,5030
16715,11-9071,Gambling Managers,detailed,170
16716,11-9081,Lodging Managers,detailed,910
16717,11-9111,Medical and Health Services Managers,detailed,12310
16718,11-9121,Natural Sciences Managers,detailed,1630
16719,11-9131,Postmasters and Mail Superintendents,detailed,450
16720,11-9141,"Property, Real Estate, and Community Association Managers",detailed,5640
16721,11-9151,Social and Community Service Managers,detailed,4570
16722,11-9161,Emergency Management Directors,detailed,160
16723,11-9171,Funeral Home Managers,detailed,210
16724,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,6660
16725,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,210
16726,13-1020,Buyers and Purchasing Agents,detailed,14560
16727,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,**
16728,13-1032,"Insurance Appraisers, Auto Damage",detailed,180
16729,13-1041,Compliance Officers,detailed,5990
16730,13-1051,Cost Estimators,detailed,6910
16731,13-1071,Human Resources Specialists,detailed,17900
16732,13-1075,Labor Relations Specialists,detailed,3630
16733,13-1081,Logisticians,detailed,8280
16734,13-1111,Management Analysts,detailed,13540
16735,13-1121,"Meeting, Convention, and Event Planners",detailed,3310
16736,13-1131,Fundraisers,detailed,2630
16737,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,2290
16738,13-1151,Training and Development Specialists,detailed,7000
16739,13-1161,Market Research Analysts and Marketing Specialists,detailed,18840
16740,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,37230
16741,13-2011,Accountants and Auditors,detailed,35180
16742,13-2020,Property Appraisers and Assessors,detailed,2350
16743,13-2031,Budget Analysts,detailed,630
16744,13-2041,Credit Analysts,detailed,1540
16745,13-2052,Personal Financial Advisors,detailed,5320
16746,13-2053,Insurance Underwriters,detailed,**
16747,13-2061,Financial Examiners,detailed,450
16748,13-2071,Credit Counselors,detailed,970
16749,13-2072,Loan Officers,detailed,11990
16750,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,620
16751,13-2082,Tax Preparers,detailed,1070
16752,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,9580
16753,15-1211,Computer Systems Analysts,detailed,14350
16754,15-1212,Information Security Analysts,detailed,1970
16755,15-1221,Computer and Information Research Scientists,detailed,140
16756,15-1231,Computer Network Support Specialists,detailed,2260
16757,15-1232,Computer User Support Specialists,detailed,19220
16758,15-1241,Computer Network Architects,detailed,3550
16759,15-1244,Network and Computer Systems Administrators,detailed,6680
16760,15-1245,Database Administrators and Architects,detailed,2830
16761,15-1251,Computer Programmers,detailed,3780
16762,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,40190
16763,15-1257,Web Developers and Digital Interface Designers,detailed,2340
16764,15-1299,"Computer Occupations, All Other",detailed,10390
16765,15-2011,Actuaries,detailed,740
16766,15-2021,Mathematicians,detailed,80
16767,15-2031,Operations Research Analysts,detailed,1950
16768,15-2041,Statisticians,detailed,670
16769,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,800
16770,17-1011,"Architects, Except Landscape and Naval",detailed,2300
16771,17-1012,Landscape Architects,detailed,410
16772,17-1021,Cartographers and Photogrammetrists,detailed,240
16773,17-1022,Surveyors,detailed,910
16774,17-2031,Bioengineers and Biomedical Engineers,detailed,400
16775,17-2041,Chemical Engineers,detailed,880
16776,17-2051,Civil Engineers,detailed,6640
16777,17-2061,Computer Hardware Engineers,detailed,**
16778,17-2071,Electrical Engineers,detailed,9620
16779,17-2072,"Electronics Engineers, Except Computer",detailed,4470
16780,17-2081,Environmental Engineers,detailed,1260
16781,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,570
16782,17-2112,Industrial Engineers,detailed,29470
16783,17-2131,Materials Engineers,detailed,1410
16784,17-2141,Mechanical Engineers,detailed,43850
16785,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,180
16786,17-2161,Nuclear Engineers,detailed,790
16787,17-2171,Petroleum Engineers,detailed,120
16788,17-2199,"Engineers, All Other",detailed,11350
16789,17-3011,Architectural and Civil Drafters,detailed,2010
16790,17-3012,Electrical and Electronics Drafters,detailed,500
16791,17-3013,Mechanical Drafters,detailed,2470
16792,17-3019,"Drafters, All Other",detailed,350
16793,17-3022,Civil Engineering Technologists and Technicians,detailed,1490
16794,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,2320
16795,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,340
16796,17-3025,Environmental Engineering Technologists and Technicians,detailed,130
16797,17-3026,Industrial Engineering Technologists and Technicians,detailed,4250
16798,17-3027,Mechanical Engineering Technologists and Technicians,detailed,4700
16799,17-3031,Surveying and Mapping Technicians,detailed,980
16800,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,2310
16801,19-1011,Animal Scientists,detailed,60
16802,19-1012,Food Scientists and Technologists,detailed,530
16803,19-1013,Soil and Plant Scientists,detailed,380
16804,19-1021,Biochemists and Biophysicists,detailed,**
16805,19-1022,Microbiologists,detailed,280
16806,19-1023,Zoologists and Wildlife Biologists,detailed,380
16807,19-1029,"Biological Scientists, All Other",detailed,440
16808,19-1031,Conservation Scientists,detailed,440
16809,19-1032,Foresters,detailed,270
16810,19-1041,Epidemiologists,detailed,170
16811,19-1042,"Medical Scientists, Except Epidemiologists",detailed,2110
16812,19-1099,"Life Scientists, All Other",detailed,140
16813,19-2012,Physicists,detailed,530
16814,19-2021,Atmospheric and Space Scientists,detailed,190
16815,19-2031,Chemists,detailed,3490
16816,19-2032,Materials Scientists,detailed,230
16817,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,3030
16818,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,440
16819,19-2043,Hydrologists,detailed,80
16820,19-2099,"Physical Scientists, All Other",detailed,350
16821,19-3011,Economists,detailed,210
16822,19-3022,Survey Researchers,detailed,200
16823,19-3031,"Clinical, Counseling, and School Psychologists",detailed,2590
16824,19-3039,"Psychologists, All Other",detailed,240
16825,19-3041,Sociologists,detailed,110
16826,19-3051,Urban and Regional Planners,detailed,870
16827,19-3093,Historians,detailed,50
16828,19-3094,Political Scientists,detailed,80
16829,19-3099,"Social Scientists and Related Workers, All Other",detailed,370
16830,19-4010,Agricultural and Food Science Technicians,detailed,190
16831,19-4021,Biological Technicians,detailed,3460
16832,19-4031,Chemical Technicians,detailed,1870
16833,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,670
16834,19-4045,Geological and Hydrologic Technicians,detailed,300
16835,19-4051,Nuclear Technicians,detailed,120
16836,19-4061,Social Science Research Assistants,detailed,650
16837,19-4071,Forest and Conservation Technicians,detailed,170
16838,19-4092,Forensic Science Technicians,detailed,360
16839,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,2060
16840,19-5011,Occupational Health and Safety Specialists,detailed,2320
16841,19-5012,Occupational Health and Safety Technicians,detailed,380
16842,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,7280
16843,21-1013,Marriage and Family Therapists,detailed,230
16844,21-1015,Rehabilitation Counselors,detailed,3590
16845,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,7130
16846,21-1019,"Counselors, All Other",detailed,130
16847,21-1021,"Child, Family, and School Social Workers",detailed,13760
16848,21-1022,Healthcare Social Workers,detailed,5410
16849,21-1023,Mental Health and Substance Abuse Social Workers,detailed,4190
16850,21-1029,"Social Workers, All Other",detailed,1310
16851,21-1091,Health Education Specialists,detailed,1630
16852,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,2220
16853,21-1093,Social and Human Service Assistants,detailed,9770
