,occ_code,occ_title,o_group,tot_emp
877,11-0000,Management Occupations,major,65430
878,13-0000,Business and Financial Operations Occupations,major,53110
879,15-0000,Computer and Mathematical Occupations,major,22330
880,17-0000,Architecture and Engineering Occupations,major,12550
881,19-0000,"Life, Physical, and Social Science Occupations",major,6720
882,21-0000,Community and Social Service Occupations,major,14610
883,23-0000,Legal Occupations,major,6310
884,25-0000,Educational Instruction and Library Occupations,major,77710
885,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,9060
886,29-0000,Healthcare Practitioners and Technical Occupations,major,80540
887,31-0000,Healthcare Support Occupations,major,51850
888,33-0000,Protective Service Occupations,major,27320
889,35-0000,Food Preparation and Serving Related Occupations,major,110010
890,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,33930
891,39-0000,Personal Care and Service Occupations,major,19930
892,41-0000,Sales and Related Occupations,major,121600
893,43-0000,Office and Administrative Support Occupations,major,149010
894,45-0000,"Farming, Fishing, and Forestry Occupations",major,5830
895,47-0000,Construction and Extraction Occupations,major,44900
896,49-0000,"Installation, Maintenance, and Repair Occupations",major,58040
897,51-0000,Production Occupations,major,117690
898,53-0000,Transportation and Material Moving Occupations,major,128920
3932,11-1011,Chief Executives,detailed,2090
3933,11-1021,General and Operations Managers,detailed,20910
3934,11-1031,Legislators,detailed,1310
3935,11-2011,Advertising and Promotions Managers,detailed,100
3936,11-2021,Marketing Managers,detailed,1320
3937,11-2022,Sales Managers,detailed,2040
3938,11-2030,Public Relations and Fundraising Managers,detailed,310
3939,11-3010,Administrative Services and Facilities Managers,detailed,1840
3940,11-3021,Computer and Information Systems Managers,detailed,2410
3941,11-3031,Financial Managers,detailed,4810
3942,11-3051,Industrial Production Managers,detailed,2010
3943,11-3061,Purchasing Managers,detailed,600
3944,11-3071,"Transportation, Storage, and Distribution Managers",detailed,1180
3945,11-3111,Compensation and Benefits Managers,detailed,150
3946,11-3121,Human Resources Managers,detailed,1030
3947,11-3131,Training and Development Managers,detailed,270
3948,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,**
3949,11-9021,Construction Managers,detailed,2160
3950,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,610
3951,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,2400
3952,11-9033,"Education Administrators, Postsecondary",detailed,1260
3953,11-9039,"Education Administrators, All Other",detailed,590
3954,11-9041,Architectural and Engineering Managers,detailed,850
3955,11-9051,Food Service Managers,detailed,1800
3956,11-9081,Lodging Managers,detailed,700
3957,11-9111,Medical and Health Services Managers,detailed,5680
3958,11-9121,Natural Sciences Managers,detailed,230
3959,11-9131,Postmasters and Mail Superintendents,detailed,190
3960,11-9141,"Property, Real Estate, and Community Association Managers",detailed,1510
3961,11-9151,Social and Community Service Managers,detailed,1400
3962,11-9161,Emergency Management Directors,detailed,140
3963,11-9171,Funeral Home Managers,detailed,110
3964,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,3370
3965,13-1020,Buyers and Purchasing Agents,detailed,3420
3966,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,1860
3967,13-1041,Compliance Officers,detailed,2650
3968,13-1051,Cost Estimators,detailed,1250
3969,13-1071,Human Resources Specialists,detailed,3890
3970,13-1075,Labor Relations Specialists,detailed,260
3971,13-1081,Logisticians,detailed,1520
3972,13-1111,Management Analysts,detailed,5750
3973,13-1121,"Meeting, Convention, and Event Planners",detailed,590
3974,13-1131,Fundraisers,detailed,350
3975,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,670
3976,13-1151,Training and Development Specialists,detailed,2600
3977,13-1161,Market Research Analysts and Marketing Specialists,detailed,4630
3978,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,7800
3979,13-2011,Accountants and Auditors,detailed,7440
3980,13-2020,Property Appraisers and Assessors,detailed,470
3981,13-2031,Budget Analysts,detailed,520
3982,13-2041,Credit Analysts,detailed,300
3983,13-2052,Personal Financial Advisors,detailed,910
3984,13-2053,Insurance Underwriters,detailed,320
3985,13-2061,Financial Examiners,detailed,360
3986,13-2071,Credit Counselors,detailed,80
3987,13-2072,Loan Officers,detailed,2660
3988,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,460
3989,13-2082,Tax Preparers,detailed,430
3990,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,1900
3991,15-1211,Computer Systems Analysts,detailed,3440
3992,15-1212,Information Security Analysts,detailed,780
3993,15-1221,Computer and Information Research Scientists,detailed,40
3994,15-1231,Computer Network Support Specialists,detailed,1560
3995,15-1232,Computer User Support Specialists,detailed,3480
3996,15-1241,Computer Network Architects,detailed,970
3997,15-1244,Network and Computer Systems Administrators,detailed,2170
3998,15-1245,Database Administrators and Architects,detailed,580
3999,15-1251,Computer Programmers,detailed,1700
4000,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,5480
4001,15-1257,Web Developers and Digital Interface Designers,detailed,490
4002,15-1299,"Computer Occupations, All Other",detailed,840
4003,15-2031,Operations Research Analysts,detailed,390
4004,15-2041,Statisticians,detailed,360
4005,17-1011,"Architects, Except Landscape and Naval",detailed,680
4006,17-1012,Landscape Architects,detailed,90
4007,17-1021,Cartographers and Photogrammetrists,detailed,70
4008,17-1022,Surveyors,detailed,340
4009,17-2011,Aerospace Engineers,detailed,**
4010,17-2041,Chemical Engineers,detailed,140
4011,17-2051,Civil Engineers,detailed,1400
4012,17-2061,Computer Hardware Engineers,detailed,260
4013,17-2071,Electrical Engineers,detailed,960
4014,17-2072,"Electronics Engineers, Except Computer",detailed,460
4015,17-2081,Environmental Engineers,detailed,100
4016,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,110
4017,17-2112,Industrial Engineers,detailed,1940
4018,17-2131,Materials Engineers,detailed,220
4019,17-2141,Mechanical Engineers,detailed,1150
4020,17-2161,Nuclear Engineers,detailed,**
4021,17-2171,Petroleum Engineers,detailed,**
4022,17-2199,"Engineers, All Other",detailed,490
4023,17-3011,Architectural and Civil Drafters,detailed,550
4024,17-3012,Electrical and Electronics Drafters,detailed,120
4025,17-3013,Mechanical Drafters,detailed,420
4026,17-3022,Civil Engineering Technologists and Technicians,detailed,260
4027,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,530
4028,17-3025,Environmental Engineering Technologists and Technicians,detailed,230
4029,17-3026,Industrial Engineering Technologists and Technicians,detailed,540
4030,17-3027,Mechanical Engineering Technologists and Technicians,detailed,100
4031,17-3031,Surveying and Mapping Technicians,detailed,530
4032,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,370
4033,19-1012,Food Scientists and Technologists,detailed,240
4034,19-1013,Soil and Plant Scientists,detailed,50
4035,19-1022,Microbiologists,detailed,220
4036,19-1029,"Biological Scientists, All Other",detailed,250
4037,19-1031,Conservation Scientists,detailed,150
4038,19-1032,Foresters,detailed,150
4039,19-1041,Epidemiologists,detailed,40
4040,19-1042,"Medical Scientists, Except Epidemiologists",detailed,140
4041,19-2012,Physicists,detailed,**
4042,19-2021,Atmospheric and Space Scientists,detailed,30
4043,19-2031,Chemists,detailed,310
4044,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,120
4045,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,120
4046,19-3011,Economists,detailed,100
4047,19-3031,"Clinical, Counseling, and School Psychologists",detailed,730
4048,19-3039,"Psychologists, All Other",detailed,90
4049,19-3051,Urban and Regional Planners,detailed,100
4050,19-3099,"Social Scientists and Related Workers, All Other",detailed,160
4051,19-4010,Agricultural and Food Science Technicians,detailed,370
4052,19-4021,Biological Technicians,detailed,340
4053,19-4031,Chemical Technicians,detailed,660
4054,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,70
4055,19-4045,Geological and Hydrologic Technicians,detailed,50
4056,19-4061,Social Science Research Assistants,detailed,50
4057,19-4071,Forest and Conservation Technicians,detailed,260
4058,19-4092,Forensic Science Technicians,detailed,160
4059,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,480
4060,19-5011,Occupational Health and Safety Specialists,detailed,650
4061,19-5012,Occupational Health and Safety Technicians,detailed,220
4062,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,2000
4063,21-1013,Marriage and Family Therapists,detailed,110
4064,21-1015,Rehabilitation Counselors,detailed,580
4065,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,1800
4066,21-1019,"Counselors, All Other",detailed,90
4067,21-1021,"Child, Family, and School Social Workers",detailed,1440
4068,21-1022,Healthcare Social Workers,detailed,1280
4069,21-1023,Mental Health and Substance Abuse Social Workers,detailed,1070
4070,21-1029,"Social Workers, All Other",detailed,570
4071,21-1091,Health Education Specialists,detailed,220
4072,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,890
4073,21-1093,Social and Human Service Assistants,detailed,3560
4074,21-1094,Community Health Workers,detailed,310
4075,21-1099,"Community and Social Service Specialists, All Other",detailed,290
4076,21-2011,Clergy,detailed,360
4077,23-1011,Lawyers,detailed,3160
4078,23-1012,Judicial Law Clerks,detailed,50
4079,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,230
4080,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,230
4081,23-2011,Paralegals and Legal Assistants,detailed,2060
4082,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,460
4083,23-2099,"Legal Support Workers, All Other",detailed,110
4084,25-1011,"Business Teachers, Postsecondary",detailed,590
4085,25-1021,"Computer Science Teachers, Postsecondary",detailed,340
4086,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,590
4087,25-1032,"Engineering Teachers, Postsecondary",detailed,290
4088,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,200
4089,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,80
4090,25-1052,"Chemistry Teachers, Postsecondary",detailed,190
4091,25-1054,"Physics Teachers, Postsecondary",detailed,90
4092,25-1063,"Economics Teachers, Postsecondary",detailed,80
4093,25-1065,"Political Science Teachers, Postsecondary",detailed,90
4094,25-1066,"Psychology Teachers, Postsecondary",detailed,240
4095,25-1067,"Sociology Teachers, Postsecondary",detailed,90
4096,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,250
4097,25-1071,"Health Specialties Teachers, Postsecondary",detailed,660
4098,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,650
4099,25-1081,"Education Teachers, Postsecondary",detailed,520
