,occ_code,occ_title,o_group,tot_emp
1383,11-0000,Management Occupations,major,18080
1384,13-0000,Business and Financial Operations Occupations,major,22250
1385,15-0000,Computer and Mathematical Occupations,major,8560
1386,17-0000,Architecture and Engineering Occupations,major,7280
1387,19-0000,"Life, Physical, and Social Science Occupations",major,7380
1388,21-0000,Community and Social Service Occupations,major,9030
1389,23-0000,Legal Occupations,major,3790
1390,25-0000,Educational Instruction and Library Occupations,major,29820
1391,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,6400
1392,29-0000,Healthcare Practitioners and Technical Occupations,major,30080
1393,31-0000,Healthcare Support Occupations,major,18250
1394,33-0000,Protective Service Occupations,major,8510
1395,35-0000,Food Preparation and Serving Related Occupations,major,51620
1396,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,19490
1397,39-0000,Personal Care and Service Occupations,major,11490
1398,41-0000,Sales and Related Occupations,major,47080
1399,43-0000,Office and Administrative Support Occupations,major,61450
1400,45-0000,"Farming, Fishing, and Forestry Occupations",major,1840
1401,47-0000,Construction and Extraction Occupations,major,29080
1402,49-0000,"Installation, Maintenance, and Repair Occupations",major,21120
1403,51-0000,Production Occupations,major,18770
1404,53-0000,Transportation and Material Moving Occupations,major,36610
19533,11-1011,Chief Executives,detailed,340
19534,11-1021,General and Operations Managers,detailed,6370
19535,11-1031,Legislators,detailed,300
19536,11-2021,Marketing Managers,detailed,160
19537,11-2022,Sales Managers,detailed,310
19538,11-2030,Public Relations and Fundraising Managers,detailed,90
19539,11-3010,Administrative Services and Facilities Managers,detailed,260
19540,11-3021,Computer and Information Systems Managers,detailed,700
19541,11-3031,Financial Managers,detailed,850
19542,11-3051,Industrial Production Managers,detailed,160
19543,11-3061,Purchasing Managers,detailed,60
19544,11-3071,"Transportation, Storage, and Distribution Managers",detailed,170
19545,11-3121,Human Resources Managers,detailed,330
19546,11-3131,Training and Development Managers,detailed,60
19547,11-9021,Construction Managers,detailed,730
19548,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,150
19549,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,790
19550,11-9033,"Education Administrators, Postsecondary",detailed,400
19551,11-9039,"Education Administrators, All Other",detailed,50
19552,11-9041,Architectural and Engineering Managers,detailed,270
19553,11-9051,Food Service Managers,detailed,430
19554,11-9081,Lodging Managers,detailed,320
19555,11-9111,Medical and Health Services Managers,detailed,1540
19556,11-9121,Natural Sciences Managers,detailed,300
19557,11-9131,Postmasters and Mail Superintendents,detailed,180
19558,11-9141,"Property, Real Estate, and Community Association Managers",detailed,900
19559,11-9151,Social and Community Service Managers,detailed,540
19560,11-9161,Emergency Management Directors,detailed,40
19561,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,1190
19562,13-1020,Buyers and Purchasing Agents,detailed,1350
19563,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,1160
19564,13-1041,Compliance Officers,detailed,1080
19565,13-1051,Cost Estimators,detailed,1040
19566,13-1071,Human Resources Specialists,detailed,1690
19567,13-1075,Labor Relations Specialists,detailed,160
19568,13-1081,Logisticians,detailed,170
19569,13-1111,Management Analysts,detailed,**
19570,13-1121,"Meeting, Convention, and Event Planners",detailed,550
19571,13-1131,Fundraisers,detailed,670
19572,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,130
19573,13-1151,Training and Development Specialists,detailed,680
19574,13-1161,Market Research Analysts and Marketing Specialists,detailed,1470
19575,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,3930
19576,13-2011,Accountants and Auditors,detailed,3380
19577,13-2020,Property Appraisers and Assessors,detailed,260
19578,13-2031,Budget Analysts,detailed,220
19579,13-2041,Credit Analysts,detailed,150
19580,13-2052,Personal Financial Advisors,detailed,410
19581,13-2053,Insurance Underwriters,detailed,150
19582,13-2061,Financial Examiners,detailed,140
19583,13-2071,Credit Counselors,detailed,40
19584,13-2072,Loan Officers,detailed,1240
19585,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,110
19586,13-2082,Tax Preparers,detailed,330
19587,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,500
19588,15-1211,Computer Systems Analysts,detailed,610
19589,15-1212,Information Security Analysts,detailed,110
19590,15-1231,Computer Network Support Specialists,detailed,450
19591,15-1232,Computer User Support Specialists,detailed,2360
19592,15-1241,Computer Network Architects,detailed,250
19593,15-1244,Network and Computer Systems Administrators,detailed,720
19594,15-1245,Database Administrators and Architects,detailed,250
19595,15-1251,Computer Programmers,detailed,600
19596,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,1760
19597,15-1257,Web Developers and Digital Interface Designers,detailed,550
19598,15-1299,"Computer Occupations, All Other",detailed,710
19599,15-2031,Operations Research Analysts,detailed,100
19600,15-2041,Statisticians,detailed,40
19601,17-1011,"Architects, Except Landscape and Naval",detailed,580
19602,17-1012,Landscape Architects,detailed,40
19603,17-1021,Cartographers and Photogrammetrists,detailed,50
19604,17-1022,Surveyors,detailed,370
19605,17-2011,Aerospace Engineers,detailed,80
19606,17-2041,Chemical Engineers,detailed,120
19607,17-2051,Civil Engineers,detailed,1440
19608,17-2071,Electrical Engineers,detailed,570
19609,17-2072,"Electronics Engineers, Except Computer",detailed,110
19610,17-2081,Environmental Engineers,detailed,440
19611,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,50
19612,17-2112,Industrial Engineers,detailed,220
19613,17-2131,Materials Engineers,detailed,80
19614,17-2141,Mechanical Engineers,detailed,620
19615,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,110
