,occ_code,occ_title,o_group,tot_emp
943,11-0000,Management Occupations,major,120810
944,13-0000,Business and Financial Operations Occupations,major,94570
945,15-0000,Computer and Mathematical Occupations,major,48650
946,17-0000,Architecture and Engineering Occupations,major,35730
947,19-0000,"Life, Physical, and Social Science Occupations",major,12210
948,21-0000,Community and Social Service Occupations,major,34190
949,23-0000,Legal Occupations,major,14100
950,25-0000,Educational Instruction and Library Occupations,major,121290
951,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,20900
952,29-0000,Healthcare Practitioners and Technical Occupations,major,105800
953,31-0000,Healthcare Support Occupations,major,77930
954,33-0000,Protective Service Occupations,major,36120
955,35-0000,Food Preparation and Serving Related Occupations,major,137680
956,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,55830
957,39-0000,Personal Care and Service Occupations,major,47440
958,41-0000,Sales and Related Occupations,major,156010
959,43-0000,Office and Administrative Support Occupations,major,224470
960,45-0000,"Farming, Fishing, and Forestry Occupations",major,1180
961,47-0000,Construction and Extraction Occupations,major,51040
962,49-0000,"Installation, Maintenance, and Repair Occupations",major,53980
963,51-0000,Production Occupations,major,93440
964,53-0000,Transportation and Material Moving Occupations,major,121750
6077,11-1011,Chief Executives,detailed,970
6078,11-1021,General and Operations Managers,detailed,30480
6079,11-1031,Legislators,detailed,440
6080,11-2011,Advertising and Promotions Managers,detailed,240
6081,11-2021,Marketing Managers,detailed,5680
6082,11-2022,Sales Managers,detailed,7000
6083,11-2030,Public Relations and Fundraising Managers,detailed,1010
6084,11-3010,Administrative Services and Facilities Managers,detailed,4080
6085,11-3021,Computer and Information Systems Managers,detailed,9360
6086,11-3031,Financial Managers,detailed,17790
6087,11-3051,Industrial Production Managers,detailed,2850
6088,11-3061,Purchasing Managers,detailed,1780
6089,11-3071,"Transportation, Storage, and Distribution Managers",detailed,1200
6090,11-3111,Compensation and Benefits Managers,detailed,410
6091,11-3121,Human Resources Managers,detailed,2990
6092,11-3131,Training and Development Managers,detailed,740
6093,11-9021,Construction Managers,detailed,2310
6094,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,800
6095,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,4190
6096,11-9033,"Education Administrators, Postsecondary",detailed,1780
6097,11-9039,"Education Administrators, All Other",detailed,440
6098,11-9041,Architectural and Engineering Managers,detailed,3760
6099,11-9051,Food Service Managers,detailed,1090
6100,11-9081,Lodging Managers,detailed,120
6101,11-9111,Medical and Health Services Managers,detailed,6270
6102,11-9121,Natural Sciences Managers,detailed,630
6103,11-9131,Postmasters and Mail Superintendents,detailed,170
6104,11-9141,"Property, Real Estate, and Community Association Managers",detailed,2200
6105,11-9151,Social and Community Service Managers,detailed,2940
6106,11-9161,Emergency Management Directors,detailed,160
6107,11-9171,Funeral Home Managers,detailed,110
6108,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,6760
6109,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,110
6110,13-1020,Buyers and Purchasing Agents,detailed,5870
6111,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,3970
6112,13-1032,"Insurance Appraisers, Auto Damage",detailed,170
6113,13-1041,Compliance Officers,detailed,3340
6114,13-1051,Cost Estimators,detailed,1880
6115,13-1071,Human Resources Specialists,detailed,7040
6116,13-1075,Labor Relations Specialists,detailed,1730
6117,13-1081,Logisticians,detailed,1150
6118,13-1111,Management Analysts,detailed,8380
6119,13-1121,"Meeting, Convention, and Event Planners",detailed,1000
6120,13-1131,Fundraisers,detailed,1090
6121,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,1220
6122,13-1151,Training and Development Specialists,detailed,3430
6123,13-1161,Market Research Analysts and Marketing Specialists,detailed,7830
6124,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,8880
6125,13-2011,Accountants and Auditors,detailed,15450
6126,13-2020,Property Appraisers and Assessors,detailed,650
6127,13-2031,Budget Analysts,detailed,1020
6128,13-2041,Credit Analysts,detailed,1090
6129,13-2052,Personal Financial Advisors,detailed,4250
6130,13-2053,Insurance Underwriters,detailed,3100
6131,13-2061,Financial Examiners,detailed,310
6132,13-2071,Credit Counselors,detailed,620
6133,13-2072,Loan Officers,detailed,2170
6134,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,870
6135,13-2082,Tax Preparers,detailed,550
6136,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,7410
6137,15-1211,Computer Systems Analysts,detailed,7160
6138,15-1212,Information Security Analysts,detailed,850
6139,15-1231,Computer Network Support Specialists,detailed,890
6140,15-1232,Computer User Support Specialists,detailed,9050
6141,15-1241,Computer Network Architects,detailed,1370
6142,15-1244,Network and Computer Systems Administrators,detailed,2510
6143,15-1245,Database Administrators and Architects,detailed,1530
6144,15-1251,Computer Programmers,detailed,2630
6145,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,16350
6146,15-1257,Web Developers and Digital Interface Designers,detailed,1430
6147,15-1299,"Computer Occupations, All Other",detailed,1410
6148,15-2011,Actuaries,detailed,1350
6149,15-2031,Operations Research Analysts,detailed,1100
6150,15-2041,Statisticians,detailed,380
6151,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,600
6152,17-1011,"Architects, Except Landscape and Naval",detailed,1040
6153,17-1012,Landscape Architects,detailed,430
6154,17-1021,Cartographers and Photogrammetrists,detailed,60
6155,17-1022,Surveyors,detailed,390
6156,17-2011,Aerospace Engineers,detailed,1450
6157,17-2031,Bioengineers and Biomedical Engineers,detailed,250
6158,17-2041,Chemical Engineers,detailed,460
6159,17-2051,Civil Engineers,detailed,3720
6160,17-2061,Computer Hardware Engineers,detailed,690
6161,17-2071,Electrical Engineers,detailed,2570
6162,17-2072,"Electronics Engineers, Except Computer",detailed,1020
6163,17-2081,Environmental Engineers,detailed,650
6164,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,130
6165,17-2112,Industrial Engineers,detailed,5780
6166,17-2131,Materials Engineers,detailed,330
6167,17-2141,Mechanical Engineers,detailed,4510
6168,17-2161,Nuclear Engineers,detailed,580
6169,17-2199,"Engineers, All Other",detailed,1220
6170,17-3011,Architectural and Civil Drafters,detailed,680
6171,17-3012,Electrical and Electronics Drafters,detailed,330
6172,17-3013,Mechanical Drafters,detailed,710
6173,17-3019,"Drafters, All Other",detailed,340
6174,17-3022,Civil Engineering Technologists and Technicians,detailed,350
6175,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,1550
6176,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,70
