,occ_code,occ_title,o_group,tot_emp
1141,11-0000,Management Occupations,major,85370
1142,13-0000,Business and Financial Operations Occupations,major,74630
1143,15-0000,Computer and Mathematical Occupations,major,38370
1144,17-0000,Architecture and Engineering Occupations,major,22930
1145,19-0000,"Life, Physical, and Social Science Occupations",major,12370
1146,21-0000,Community and Social Service Occupations,major,21040
1147,23-0000,Legal Occupations,major,7600
1148,25-0000,Educational Instruction and Library Occupations,major,109010
1149,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,18630
1150,29-0000,Healthcare Practitioners and Technical Occupations,major,85780
1151,31-0000,Healthcare Support Occupations,major,59580
1152,33-0000,Protective Service Occupations,major,23750
1153,35-0000,Food Preparation and Serving Related Occupations,major,132150
1154,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,47350
1155,39-0000,Personal Care and Service Occupations,major,33820
1156,41-0000,Sales and Related Occupations,major,153400
1157,43-0000,Office and Administrative Support Occupations,major,193010
1158,45-0000,"Farming, Fishing, and Forestry Occupations",major,5450
1159,47-0000,Construction and Extraction Occupations,major,68200
1160,49-0000,"Installation, Maintenance, and Repair Occupations",major,69420
1161,51-0000,Production Occupations,major,143840
1162,53-0000,Transportation and Material Moving Occupations,major,143770
11879,11-1011,Chief Executives,detailed,2010
11880,11-1021,General and Operations Managers,detailed,24120
11881,11-1031,Legislators,detailed,**
11882,11-2011,Advertising and Promotions Managers,detailed,230
11883,11-2021,Marketing Managers,detailed,2550
11884,11-2022,Sales Managers,detailed,3170
11885,11-2030,Public Relations and Fundraising Managers,detailed,960
11886,11-3010,Administrative Services and Facilities Managers,detailed,2290
11887,11-3021,Computer and Information Systems Managers,detailed,3560
11888,11-3031,Financial Managers,detailed,8630
11889,11-3051,Industrial Production Managers,detailed,3310
11890,11-3061,Purchasing Managers,detailed,710
11891,11-3071,"Transportation, Storage, and Distribution Managers",detailed,1690
11892,11-3111,Compensation and Benefits Managers,detailed,120
11893,11-3121,Human Resources Managers,detailed,1580
11894,11-3131,Training and Development Managers,detailed,360
11895,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,160
11896,11-9021,Construction Managers,detailed,3160
11897,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,810
11898,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,2660
11899,11-9033,"Education Administrators, Postsecondary",detailed,2440
11900,11-9039,"Education Administrators, All Other",detailed,500
11901,11-9041,Architectural and Engineering Managers,detailed,2360
11902,11-9051,Food Service Managers,detailed,1910
11903,11-9071,Gambling Managers,detailed,160
11904,11-9081,Lodging Managers,detailed,530
11905,11-9111,Medical and Health Services Managers,detailed,6880
11906,11-9121,Natural Sciences Managers,detailed,360
11907,11-9131,Postmasters and Mail Superintendents,detailed,260
11908,11-9141,"Property, Real Estate, and Community Association Managers",detailed,1300
11909,11-9151,Social and Community Service Managers,detailed,2370
11910,11-9161,Emergency Management Directors,detailed,150
11911,11-9171,Funeral Home Managers,detailed,80
11912,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,2890
